Images,Spell Name,Page,Source,Foundry Tag,Unnamed: 5,Tag ABRV,Tag,Theme,Class,New Class,Subclass,Level,School,School ABRV,Description,Notes,Clarification,Table,Scaling,Scaling Level,Scaling Modifier,Scaling Effect,Scaling Dice Count,Scaling Dice Type,Fixed Value,Flavor,Alternative Flavor,Quotes,Anomaly Effect,Modifier Details,Modifier Type,Modifier Subtype,Modifier Dice Count,Modifier Dice Type,Modifier Fixed Value,Modifier Use Primary Stat,Modifier Duration,Modifier Duration Unit,Damage,Damage Type,Old Damage Type,Old Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Acquisition Note,Permit,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,LLM Class
,Flawless Diamond of Dread,0.0,ORIO,"Healing, Creates Light","Healing, Creates Light",HL,"Unhinged, Damage, BETA",,"Cleric, Warlock",Scourge,,7th-level,Evocation,V,"You lift a wooden coin between two fingers, and for a moment it refracts light like a perfect diamond. Then it cracks—soundlessly—and the world flinches. A prismatic spike of psychic light erupts from your palm, targeting one creature within range.

The target must make a Constitution saving throw. On a failure, they take 9d8 chiaric damage, their soul briefly exposed to the void between form and perception. On a success, they take half damage.

While the damage is instant, the wound is not: 
- If the creature survives, their shadow refuses to follow their movements for 1 hour. 
- Affected creatures cannot be healed by magical means until the start of your next turn. 
- If this spell reduces a creature to 0 HP, they vanish silently—no body, no mark, only a lingering echo of their name.
- The target cannot be hidden from magical detection (such as *Ghost Circuit* or *Giocrin’s Hunt*). 
- If they speak, their voice echoes unnaturally, revealing their position to any creature within 60 feet.

For 1 minute after taking damage from this spell, the target becomes crystalline within. Whenever they take radiation, cognitive, or chiaric damage, roll a d4. On a 1, the damage is reflected onto a random creature within 10 feet instead, as internal refractions lash outward unpredictably.

Fracture Point: If the creature is reduced to 0 hit points by this spell, they break into dust- fine crystal, leaving behind only a single perfect diamond worth 100 credit (tainted with residual dread).


At the end of the duration, the crystals dissolve harmlessly, leaving only lingering static in their nervous system.",,,,,,,,,,,"During the Calamity of Shrouded Stars, Flawless Diamond of Dread was unleashed upon a battlefield, reducing an entire legion to nameless husks. Those who survived swore they heard their own names whispered by the void.

Spellcasters who use Flawless Diamond of Dread are marked—subtly at first. Their reflections blink at the wrong times, their shadows do not always align with their bodies.",,,"When casting this spell, roll a d20. On a 15 or higher: Reality trembles slightly, causing a ripple that lingers unseen.",target must make a Constitution saving throw,4.0,3.0,9,8,,,,,9d8,chiaric,Radiant,,,,,,,,,False,False,Bonus Action,1.0,Bonus Action,,Instantaneous,Instant,,,False,False,20 feet,Point,20.0,Feet,,,,,,"Somatic, Material","S, R",a wooden coin,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/flawless%20diamond%20of%20dread.png,3137323.0,,"Sorcerer, Warlock, Wizard"
,Flesh to Paper,0.0,ORIO,,,,"Unhinged, Debuff",,"Wizard, Warlock","Parascientist, Anomalous, Cultist",Semiography,8th-level,Transmutation,T,"Something unknown has touched this magic, leaving behind traces of those who have cast it before.

Before the disaster at Hollowwatch, scribes documented the sudden, inexplicable disappearance of a scholar who had been researching Flesh to Paper. The books on his desk were found neatly stacked, except for one—a tome that had no title, and no pages inside.

Ancient tablets unearthed beneath the ruins of Gilded Hollow show early inscriptions of Flesh to Paper, yet none can determine the language it was written in. The characters shift when no one is looking.

You rewrite a creature’s very being. They must make a Constitution saving throw or be transformed into a parchment scroll, trapped in written form until the scroll is burned.",,,,"At 9th level, you may choose to inscribe their mind into a book instead, preserving their thoughts.",,,,,,,,,,"When casting this spell, roll a d20. On a 15 or higher: Reality trembles slightly, causing a ripple that lingers unseen.",,,,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Permanent,Permanent,,,False,False,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R",A page torn from an ancient book,,,,,,,,,True Name Etching,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/flesh%20to%20paper.png,3137324.0,,Sorcerer
,Fleshbound Chronicle,0.0,ORIO,Requires Sight,Requires Sight,SGT,,,,Parascientist,Semiography,8th-level,Transmutation,T,"You compel a creature’s memories, emotions, and lived experience to be transcribed directly into its own flesh, binding record and body into a single, suffering ledger. Choose one creature you can see. It must make a Wisdom saving throw.

On a failure, the creature becomes incapacitated as its senses are overwhelmed by the recording process. For the duration, it speaks fragments of its own memories aloud in distorted, overlapping phrases, its past spilling into the present. You may ask up to three questions, which it answers truthfully, though often abstractly, as its mind partially unravels from the Loom.

If the creature dies while the effect persists, its body completes the transcription, transforming into a self-sustaining fleshy codex. This living archive contains the full recollection of the creature’s life, can be interpreted with focused study, and radiates emotional residue that bleeds into those who linger nearby.",,,,,,,,,,,The final pages are still being written as it breathes.,,,,creature must make a Wisdom saving throw,4.0,5.0,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,up to 10 minutes,,10.0,Minutes,True,True,60 feet,Point,60.0,Feet,,,,,,"Material, Somatic, Verbal","V, S, R",a bundle of sinew- bound paper,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fleshbound%20chronicle.png,,,Wizard
,Fleshsmith’s Alloy,0.0,ORIO,Affects Objects,Affects Objects,OBJ,"BETA, Utility",,"Ranger, Paladin, Druid",Architect,,5th-level,Transmutation,T,"You heat iron, steel, or bone, mixing it with living flesh, forging them together into a hybrid alloy that feels both warm and cold to the touch.
 
- This does not create a living creature—it creates an object that remembers pain, warmth, and hunger.
- Flesh- infused metal moves slightly when held, adjusting to its wielder’s grip.
- If used in armor, it twitches and flexes on impact, slightly reducing damage.
- If used in a weapon, it drinks the blood it spills, remaining polished even after battle.
- If destroyed, the material screams.",,,,,,,,,,,,,,"- If multiple pieces of flesh- forged metal are stored together, they may merge into something else, something that resents its creation.",slightly reduces damage,3.0,,,,-,,,,,,,,,,,,,,,False,False,1 hours,1.0,Hours,,Permanent,Permanent,,,False,False,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R","a severed limb, still warm",,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fleshsmith%E2%80%99s%20alloy.png,3137325.0,,Artificer
,Flickering Howl,0.0,ORIO,Grants Advantage,Grants Advantage,ADV,,,"Ranger, Bard","Scourge, Cultist",,1st-level,Enchantment,E,"You mimic the warped cry of something not quite animal, shaking your enemies. All creatures in a 10 ft radius make a Wisdom saving throw.
- On a failure: they are Frightened until the end of their next turn.
- Hollows, Mechanicals, Digitals and Structures have disadvantage on the save.",,,,,,,,,,,,,,,all creatures in a 10 ft radius make a Wisdom saving throw,4.0,5.0,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,self,Point,,Self,10 ft,,,10.0,,Verbal,V,,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/flickering%20howl.png,3137326.0,,Bard
,Flickering Veil,0.0,ORIO,Grants Advantage,Grants Advantage,ADV,,,Sorceror,"Runner, Anomalous",,0-Cantrip,Illusion,I,"You momentarily distort your presence, causing your form to flicker like a mirage. Until the start of your next turn, attack rolls against you have disadvantage if the attacker relies on sight. If you move on your turn, you leave behind a faint afterimage that vanishes after 1 round.",,,,,,,,,,,,,,,attack rolls against you have disadvantage if the attacker relies on sight,2.0,,,,disadvantage,,1,2.0,,,,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,True,Self,Point,,Self,,,,,,Somatic,S,,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/flickering%20veil.png,3137327.0,,"Bard, Sorcerer, Wizard"
,Fold Space,0.0,ORIO,,,,Transport,,Wizard,Anomalous,,4th-level,Transmutation,T,"You create a temporary shortcut between two points, linking two doorways, hallways, or urban streets within 100 feet.
 
- Walking into one entrance instantly exits through the other.
- The fold collapses if detected by corporate security measures.
- Once the spell ends, the passage vanishes without a trace.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,10 minutes,10.0,Minutes,,1 hours,,1.0,Hours,False,False,100 feet,Point,100.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a reflective shard of warped glass,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fold%20space.png,3137328.0,,"Sorcerer, Wizard"
,Forced Alignment,0.0,ORIO,Permanent Effects,Permanent Effects,PRM,,,Cleric,Medic,,6th-level,Transmutation,T,"You seize the target’s thread at a critical instant and pull it into an artificially perfected configuration. For the duration, one of the creature’s ability scores of your choice increases by 4, to a maximum of 24, as the Loom is briefly coerced into an idealized pattern.

The perfection is unstable. As one aspect is elevated, another is sacrificed. One other ability score is randomly reduced by 4 for the same duration, reflecting the strain of forcing the body and will into a configuration they cannot naturally sustain. When the effect ends, the thread relaxes back into its original weave, leaving no permanent change, only the memory of borrowed excellence.",,,,,,,,,,,,,,,increases one ability score by 4,5.0,,,,4,,1,3.0,,,,,,,,,,,,False,False,Action,1.0,Action,,1 hours,,1.0,Hours,False,False,Touch,Point,,Touch,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/forced%20alignment.png,3137371.0,,"Sorcerer, Wizard"
,Forgotten Banquet of Determination,0.0,ORIO,"Summons Creature, Modifies AC","Summons Creature, Modifies AC",SMN,"Unhinged, Utility",,"Paladin, Warlock",Scourge,,2nd-level,Necromancy,N,"You conjure a long, spectral table adorned with silverware, flickering candles, and translucent dishes steaming with ghostly food. The banquet is silent. No scent wafts from the platters. The air is cold, and time feels strangely still.

Up to 12 creatures of your choice within range may partake. Each creature that consumes the food must succeed on a DC 13 Constitution saving throw as spectral flavors and ancestral memories fill their senses.- On a success: The meal steels their resolve. They gain +3 bonus to AC and become immune to the charmed condition for 24 hours.- On a failure: The feast is too much to endure. They gain 1 level of exhaustion, as ghostly voices whisper forgotten griefs into their ears.- Regardless of the outcome, the meal nourishes the creature completely, removing hunger for the next 24 hours.

Once the meal is consumed, the banquet slowly fades, and only a ring of salt and ash remains where the table stood.",,,,,,,,,,,"The phantom ship *Elder’s Lament* was last seen adrift in the Void Sea, its captain having invoked Forgotten Banquet of Determination in a desperate bid to escape the Hunt. The ship is still seen, sometimes, but never in the same place twice.

The very air around Forgotten Banquet of Determination seems to recoil, as if reality itself wishes to avoid acknowledging its existence. It is a spell that should not be, yet is.",,,"When casting this spell, roll a d20. On a 15 or higher:
One of the empty chairs pulls itself out, as if seating someone unseen. For the next 24 hours, the caster hears faint cutlery clinking behind them when alone.",+3 bonus to ac,1.0,,,,3.0,,24.0,3.0,,,,,,,,,,,13,True,False,10 minutes,10.0,Minutes,,24 hours,,24.0,Hours,False,False,60 feet,Point,60.0,Feet,,,,,,"Somatic, Material","S, R",a saltbush twig,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/forgotten%20banquet%20of%20determination.png,3137329.0,,"Bard, Sorcerer"
,Formula of Unraveling,0.0,ORIO,,,,Damage,,Wizard,Hacker,,7th-level,Transmutation,T,"You inscribe a corruptive principle into the target’s very being, compelling its structure to betray itself. The creature must make a Constitution saving throw. On a failure, it takes 12d12 void damage as its form begins to unravel, becomes Altered, and gains vulnerability to one damage type of your choice, chosen when you cast the spell.
On a success, the creature takes half damage and resists the deeper transformation. What fails here is not flesh alone, but the hidden pattern that once held it together.",,,,,,,,,,,,,,,Constitution saving throw,4.0,3.0,,,,,,,12d12,void,bludgeoning,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,120 feet,Point,120.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a crumbling stone tablet,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/formula%20of%20unraveling.png,3137226.0,,"Sorcerer, Wizard"
,Fracturing of the Erelian Ledger,0.0,ORIO,,,,,,"Wizard, Bard, Druid",Architect,,3rd-level,Transmutation,T,"You do not erase what is recorded. You deform it. By unsettling the registries maintained by the Erelian Erudits, you twist recorded truth into contradiction and doubt.

Written records become scarred with false sequences, altered entries, and conflicting annotations. Magical archives and divinatory repositories yield inconsistent or misleading impressions when consulted. Memories preserved through ritual or spellcraft fracture into overlapping versions that refuse to align.

Anyone who attempts to study or verify the corrupted records must succeed on an Intelligence (Investigation) check against your spell save DC to discern that the ledger has been tampered with. The distortion persists indefinitely unless painstakingly corrected by a skilled archivist, erudit scholar, or equivalent practitioner capable of rethreading the damaged record.",,,,,,,,,,,,,,,must succeed on an Intelligence (Investigation) check against your spell save DC,4.0,,,,spell save DC,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Permanent,Permanent,,,False,False,60 feet,Point,60.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a frayed Ethernet cable or a broken quill,,,,,,,"Overuse may trigger a corporate forensic audit, leading to investigations or countermeasures.",,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fracturing%20of%20the%20erelian%20ledger.png,3137249.0,,"Wizard, Sorcerer"
,Fragmentation Rift,0.0,ORIO,Requires Sight,Requires Sight,SGT,,,Wizard,,Chrono- Thanatology,8th-level,Conjuration,C,"You summon a dimensional rift in an unoccupied space you can see. Any creature within 20 feet of the rift must make a Dexterity saving throw or take 14d10 impact damage as the very fabric of reality slices through them. On a success, they take half damage.
 
 Any creature reduced to 0 HP by this spell is torn from reality, their fate unknown. The rift collapses at the end of your next turn.",,,,,,,,,,,,,,,must make a Dexterity saving throw,4.0,2.0,,,,,,,14d10,impact,Force,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,True,150 feet,Point,150.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a shard of broken glass,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fragmentation%20rift.png,3137330.0,,"Sorcerer, Wizard"
,Fraying of the Loom,0.0,ORIO,Grants Advantage,Grants Advantage,ADV,,,"Cleric, Wizard",Anomalous,,8th-level,Transmutation,T,"You pull a creature loose from the Loom that stabilizes existence. The target must succeed on a Charisma saving throw or begin flickering between incompatible states of being.

While affected, all attack rolls against the creature have advantage, and the creature has disadvantage on all attack rolls, ability checks, and saving throws. Whenever it makes a saving throw, it must roll twice and take the worse result. The effect lasts for the duration.",,,,,,,,,,,,,,,all attack rolls against the creature have advantage,2.0,,,,advantage,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,True,60 feet,Point,60.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a broken clock,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fraying%20of%20the%20loom.png,3137446.0,,"Sorcerer, Wizard"
,Ghost Slap,0.0,ORIO,Grants Advantage,Grants Advantage,ADV,,,Bard,Celebrity,,0-Cantrip,Necromancy,N,"A haptic force field momentarily materializes, delivering a sharp, percussive impact to a target. The sensation is startling but harmless, designed to elicit attention, dominance, or playful reprimand.
 
- If the target fails a Wisdom saving throw, they experience a moment of flustered distraction, causing disadvantage on their next attack roll or ability check.
- If the target is affected by Ghost Slap, it has disadvantage on the next saving throw against a Necromancy spell cast before the end of your next turn.
- Frequently used in advanced social dominance training protocols and high- end recreational services.",,,,,,,,,,,,,,,target fails a Wisdom saving throw,4.0,5.0,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,10 feet,Point,10.0,Feet,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/ghost%20slap.png,3137335.0,,"Bard, Sorcerer, Warlock"
,Giocrin's Face of Rust,0.0,ORIO,,,,"Unhinged, Damage, BETA",,"Cleric, Warlock, Druid","Architect, Scourge",,2nd-level,Necromancy,N,"You release a conical wave of decaying shadow that unravels matter and memory. Each creature in a 20- foot cone must make a Constitution saving throw. On a failed save, a creature takes 2d6 chiaric damage and cannot regain hit points until the start of your next turn. On a successful save, the creature takes half damage and suffers no additional effects.

When casting this spell, roll a d20. On a 15 or higher, reality trembles—a barely perceptible ripple distorts the air, leaving behind a faint trace of something watching. This has no mechanical effect, but those attuned to anomalies may notice.",,,,,,,,,,,"Giocrin’s Face of Rust is banned in Concord. The spell is infamous after a member of the Silent Maw cult used it to unmake a senator in broad daylight. Witnesses claimed the victim’s shadow screamed before vanishing, leaving only the echo of a face rusted into the stone beneath.

Casters of this spell often report strange dreams afterward—corridors without end, mirrored doors, and rusted locks clicking open in their sleep. Some claim the spell remembers everyone who has ever used it.",,,"When casting this spell, roll a d20. On a 15 or higher, reality trembles—a barely perceptible ripple distorts the air, leaving behind a faint trace of something watching. This has no mechanical effect, but those attuned to anomalies may notice.",takes 2d6 chiaric damage on failed save,4.0,3.0,,,2,,,,2d6,chiaric,Necrotic,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,Self,Point,,Self,Cone/20 ft,Cone,N,20.0,Cone,Somatic,S,,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/giocrin%27s%20face%20of%20rust.png,3137336.0,,"Sorcerer, Warlock"
,Giocrin's Hunt,0.0,ORIO,,,,"Unhinged, Utility, Rework",,"Sorceror, Warlock, Paladin",Scourge,,4th-level,Divination,D,"You cast out a burst of twisted awareness—the echo of something watching, something ancient and analytical. The air in the chosen area distorts, revealing the ghostly attention trails of an otherworldly intelligence.

All creatures of your choice within a 30- foot- radius sphere centered on a point within range must make a Wisdom saving throw. On a failure, they suffer the effects listed below:

On a success, the creature is unaffected, but leaves behind a faint trail visible only to you, allowing you to track them regardless of stealth or invisibility.
",,,"
| Effect | Description |
|---------------- |------------- |
| Marked | The creature emits a visible, flickering aura only you can see. You have advantage on attack rolls, ability checks to track, locate, or affect them. |
| Haunted | The creature is Under Surveillance: has disadvantage on Stealth checks and cannot benefit from invisibility. |
| Overloaded | If the creature is already being observed by magical or technological surveillance, it takes 4d6 cognitive damage from conflicting signals. |","At Higher Levels.
When cast with a 5th-level spell slot or higher:- Affected creatures also become Frightened of you for 1 round on a failed save.- You may choose up to twice as many creatures to be affected.",,,,,,,"The rogue artificer Veyl Renshaw designed an enchanted device that could replicate Giocrin's Hunt. She activated it only once—her house was later found standing, but all its doors opened into an endless void.

To cast Giocrin's Hunt is to invite a presence that does not belong. The words taste of static, the gestures feel like echoes of hands not your own.",,,"When casting this spell, roll a d20. On a 15 or higher:
A shimmering eye blinks open in the air and follows your gaze. It remains for 1 round, granting you truesight in the affected area during that time.",must make a Wisdom saving throw,4.0,5.0,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 hours,,1.0,Hours,False,False,10 feet,Point,10.0,Feet,Line/10 ft,Line,L,10.0,Line,"Verbal, Somatic, Material","V, S, R",snowberry leaves and bread crumbs,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/giocrin%27s%20hunt.png,3137337.0,,"Druid, Sorcerer, Warlock"
,Giocrin's Incantation of Bitterness,0.0,ORIO,"Permanent Effects, Modifies AC, Creates Light","Permanent Effects, Modifies AC, Creates Light",PRM,"Unhinged, Debuff, BETA",,"Sorceror, Wizard, Warlock",Scourge,,7th-level,Transmutation,T,"You whisper an ancient syllable not meant to be spoken—a fractured word dredged from beneath time itself. The target must succeed on a Charisma saving throw or be branded by a lingering metaphysical wound.

- The target becomes vulnerable to either tearing or impact damage (your choice). This vulnerability cannot be removed by ordinary means.
- While affected, any time the target takes damage from the chosen type, they must succeed on a DC 18 Constitution saving throw or gain one level of exhaustion.
- If the target reaches 3 levels of exhaustion in this way, the damage type reverberates within their soul: all resistances to that damage type are lost permanently, and they are always considered flanked, even when not surrounded.

The curse is subtle at first. The skin bruises too easily. The bone aches before it breaks. Eventually, even the lightest touch feels like betrayal.

This effect lasts until removed by powerful means such as some spells, or an A.S.T.R.A.L. anomaly purge.
",Level 5,,"At the start of each of your turns, roll a d6 to determine the temporal echo:
1–2. Slowed Flow – Enemies within range have disadvantage on attack rolls against you until the start of your next turn.
3–4. Accelerated Momentum – You may take a second bonus action this turn.
5. Echo Step – You teleport up to 15 feet to a location you occupied on your last turn.
6. Temporal Mirror – A flickering afterimage of yourself performs the same action you just did (repeating your action once, targeting a different creature if possible; no additional cost).",,1.0,,16.0,1.0,4.0,,"Legend says that Giocrin's Incantation of Bitterness was first cast by the exiled wizard Iosephine Blackquill, who sought to trap a god within a single word. The spell succeeded—but the god did not remain silent for long.

The ancients who first uttered Giocrin's Incantation of Bitterness did not record its effects, only their warnings: 'It does not unmake. It remembers. And it will remember you, too.'",,,"Reality trembles slightly, causing a ripple that lingers unseen. For 1 minute, any creature within 60 feet that speaks hears its words echoed in reverse, as if remembered before they were spoken.
",must succeed on a DC 18 Constitution saving throw,4.0,3.0,,,18,,,,,,,,,,,,,,18,False,False,Action,1.0,Action,,Premanent (until removed),,,,False,False,Touch,Point,,Touch,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/giocrin%27s%20incantation%20of%20bitterness.png,3137338.0,,"Sorcerer, Warlock"
,Giocrin's Nostalgia,0.0,ORIO,"Summons Creature, Creates Light","Summons Creature, Creates Light",SMN,"Unhinged, Utility, BETA",,"Sorceror, Wizard, Paladin, Warlock",Scourge,,1st-level,Evocation,V,"You conjure a strange arcane light tied to memory, place, and presence. When casting, choose one of the following:
- Beacon: A soft, haunting light forms at your feet or a space within reach, shedding bright light in a 20- foot radius and dim light for an additional 20 feet. The beacon remains stationary for 30 minutes, unaffected by wind or water.
- Flare: You launch a sudden pulse of colored light straight upward, visible for miles if outdoors. The flare lasts 1 round, providing bright light in a 60- foot radius around its apex before fading instantly.

The light can be any color you choose, and is eerie but not blinding—it does not impair vision or deal damage.",,,,,,,,,,,"Giocrin wandered into forgotten places with a lantern that burned brighter in regret than in darkness. When he vanished, only the flame remained—flickering in places he might have walked, but never did.

The last known caster, Darsil Veil, was found dead beside his burned- out focus. His eyes were empty. His notes described “the whispering ones” and warned: “Some light doesn’t show where we are—it shows what we’ve lost.”

Some believe this spell doesn’t just illuminate—it invites observation from elsewhere.",,,"When you cast this spell, roll a d20. On a 15 or higher, the light flickers in an unnatural rhythm. Roll a d6:- 5–6: The light reveals something that was never meant to be seen—a shadow with no source, a door where none should be, or a half- formed memory pressing through reality. This has no mechanical effect, but may provoke an encounter, whisper insight, or alter a future decision (at the DM’s discretion).",,,,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,30 minutes,,30.0,Minutes,False,False,Self,Point,,Self,,,,,,Verbal,V,,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/giocrin%27s%20nostalgia.png,3137339.0,,"Bard, Sorcerer, Wizard"
,Glassheart,0.0,ORIO,,,,BETA,,Cleric,"Cultist, Anomalous",,0-Cantrip,Abjuration,A,"As your attacker lands a devastating blow, your form momentarily fractures like glass. The critical hit is reduced to a normal hit, but you take an additional 1d4 cognitive damage from the strain.",,,,"(5th, 11th, and 17th level), the cognitive damage increases by 1d4.",1.0,,16.0,1.0,8.0,,,,,,additional 1d4 cognitive damage,3.0,,1.0,4.0,,,,,1d4,cognitive,,,,,,,,,,False,False,Reaction,1.0,Reaction,when an enemy rolls a critical hit against you,Instantaneous,Instant,,,False,False,Self,Point,,Self,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/glassheart.png,3137340.0,,Bard
,Glossolalia Error,0.0,ORIO,,,,"BETA, Communication",,"Bard, Wizard, Warlock","Cultist, Parascientist",,1st-level,Enchantment,E,"A burst of anomalous interference disrupts speech and incantations. The target must make a Constitution saving throw or be silenced until the end of their next turn. If they were casting a spell, they must make a Concentration check or the spell fails.",,,,,,,,,,,,,,,must make a Constitution saving throw,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,Reaction ,1.0,Reaction,when a creature within range speaks or casts a spell,1 rounds,,1.0,Rounds,False,False,30 feet,Point,30.0,Feet,,,,,,Verbal,V,,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/glossolalia%20error.png,3137342.0,,Bard
,Gluttonous Maw,0.0,ORIO,"Healing, Creates Light, Difficult Terrain","Healing, Creates Light, Difficult Terrain",HL,"Unhinged, Damage",,"Warlock, Sorceror",Scourge,,3rd-level,Conjuration,C,"You tear a wound in reality, and from the rip emerges a swirling vortex of translucent gums and spectral teeth, chattering hungrily in the void. The maw floats inches above the ground, grinding with maddening rhythm as it devours sound, light, and matter.

When the spell is cast, and again at the start of each of your turns, all creatures of your choice in the area must make a Dexterity saving throw.- On a failure, they take 4d8 impact damage and are pulled 5 feet toward the center of the maw.- On a success, they take half damage and are not pulled.

Creatures reduced to 0 HP by this spell do not fall unconscious—they vanish with a wet snap, erased from reality until the spell ends. When it does, they reappear prone and unconscious in the center of the area unless they were stabilized or healed elsewhere.

The maw is difficult terrain, and non- magical ranged attacks that pass through it automatically miss due to the warping of space and air pressure.",,,,"At Higher Levels.- 5th level or higher: The area increases to a 15- foot radius, and damage increases by 1d8 per level beyond 3rd.",,,,,,,"
A beggar on the streets of Concord claims to have been a king before uttering the words of Gluttonous Maw. When asked for details, his mouth moves, but no sound emerges.

Some claim that Gluttonous Maw does not work the same way twice. The more one casts it, the more it adapts—learning, watching, waiting.",,,"When casting this spell, roll a d20. On a 15 or higher: Reality trembles slightly, causing a ripple that lingers unseen.",all creatures of your choice in the area must make a Dexterity saving throw,4.0,2.0,4,8,,,,,4d8,impact,Bludgeoning,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,True,60 feet,Point,60.0,Feet,10- foot radius,,,10.0,Radius,"Verbal, Somatic, Material","V, S, R",A blackened tooth,,,,,,,,,Faded Beauty,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/gluttonous%20maw.png,3137343.0,,"Sorcerer, Warlock"
