Spell Name,Audit - Resolution Model,Audit - Cantrip Decision,Audit - Damage Budget,Audit - Rider Budget,Audit - Damage Verdict,Audit - Permanent Effect Verdict,Audit - Original Class Verdict,Audit - Suggested Class Additions,Audit - Suggested Class Removals,Audit - Class Rationale,Audit - Action Economy Verdict,Audit - Upcasting Verdict,Audit - Overall Balance Verdict,Audit - Recommended Change Summary
Inkbound Familiar,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Manual Review,Broaden Access,"Artificer, Wizard",,"Added thematic access for Artificer, Wizard",Change to Ritual,Needs Manual Review,Needs Manual Review,"Added Artificer, Wizard access; Ritual casting; Review permanent effect"
Jealousy,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Needs Manual Review,Removed Sorcerer access; Review unclear damage
Lantern of the Pale Path,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,"Artificer, Cleric",,"Added thematic access for Artificer, Cleric",Change to Ritual,Needs Manual Review,Acceptable,"Added Artificer, Cleric access; Ritual casting"
Luhtin's Curious Footing,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,Cleric,,Added thematic access for Cleric,Keep Action,Needs Manual Review,Acceptable,Added Cleric access
Naxious Haze,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Orb of Let's Not,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage
Phase Step,Automatic with prerequisite,Needs Manual Review,9.0-13.5 expected; 4.5 listed,No strong rider,Too Low,Safe,Narrow Access,Artificer,Warlock,Added thematic access for Artificer; Removed non-thematic/high-level access for Warlock,Keep Action,Add Damage Scaling,Acceptable,Added Artificer access; Removed Warlock access
Revelation of the Flesh,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Cleric, Druid",,"Added thematic access for Cleric, Druid",Keep Action,Needs Manual Review,Acceptable,"Added Cleric, Druid access"
Rodent of Frost,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Sure Disease,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Druid,Bard,Added thematic access for Druid; Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Acceptable,Added Druid access; Removed Bard access
Taunt the Fruit Boots,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Change to Ritual,Needs Manual Review,Acceptable,Added Artificer access; Ritual casting
Tether Hook,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Change to Bonus Action,Needs Manual Review,Acceptable,Removed Sorcerer access; Bonus Action casting
The Mourner's Kiss,Saving Throw,Needs Manual Review,9.0-13.5 expected; 2.0 listed,No strong rider,Too Low,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Removed Sorcerer access
Truth Between the Sheets,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Cleric, Druid, Paladin",,"Added thematic access for Cleric, Druid, Paladin",Change to Ritual,Needs Manual Review,Acceptable,"Added Cleric, Druid, Paladin access; Ritual casting"
Veiled Word of Imperative Thought,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Wall of Farce,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,"Cleric, Ranger",,"Added thematic access for Cleric, Ranger",Keep Action,Needs Manual Review,Acceptable,"Added Cleric, Ranger access"
Wanton Assessment,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Druid,Bard,Added thematic access for Druid; Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Acceptable,Added Druid access; Removed Bard access
Whispering Wine,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Bard,Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Acceptable,Removed Bard access
Aegis of Rebounding Force,Automatic with prerequisite,Needs Manual Review,6.8-13.5 expected; 9.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Broaden Access,Wizard,,Added thematic access for Wizard,Keep Action,Add Damage Scaling,Acceptable,Added Wizard access
Amphibious Downpour,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Broaden Access,"Ranger, Warlock, Wizard",,"Added thematic access for Ranger, Warlock, Wizard",Change to Reaction,Needs Manual Review,Needs Manual Review,"Added Ranger, Warlock, Wizard access; Reaction casting; Review unclear damage"
Battle-Fury Ascension,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Artificer, Ranger",,"Added thematic access for Artificer, Ranger",Keep Action,Needs Manual Review,Acceptable,"Added Artificer, Ranger access"
Bliss on the Lips,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,Wizard,,Added thematic access for Wizard,Keep Action,Needs Manual Review,Acceptable,Added Wizard access
Chef's Keen Senses,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Artificer, Druid, Ranger, Wizard",,"Added thematic access for Artificer, Druid, Ranger, Wizard",Change to Ritual,Needs Manual Review,Acceptable,"Added Artificer, Druid, Ranger, Wizard access; Ritual casting"
Clarity of the Mind,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,"Bard, Druid, Warlock, Wizard",,"Added thematic access for Bard, Druid, Warlock, Wizard",Keep Action,Needs Manual Review,Acceptable,"Added Bard, Druid, Warlock, Wizard access"
Commoner's Glow-up,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Sigil of Forced Stillness,Saving Throw,Needs Manual Review,13.5-18.0 expected; 10.5 listed,No strong rider,Too Low,Safe,Broaden Access,Wizard,,Added thematic access for Wizard,Keep Action,Add Damage Scaling,Acceptable,Added Wizard access
Artisan's Crucible,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Druid, Wizard",,"Added thematic access for Druid, Wizard",Keep Action,Needs Manual Review,Acceptable,"Added Druid, Wizard access"
Drowsing Embrace,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage
Duinir’s Ember Aegis,Automatic with prerequisite,Needs Manual Review,6.8-13.5 expected; 7.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Broaden Access,Warlock,,Added thematic access for Warlock,Keep Action,Add Damage Scaling,Acceptable,Added Warlock access
Duinir's Respite of Flames,Automatic with prerequisite,Needs Manual Review,6.8-13.5 expected; 5.0 listed,Strong rider: reduced damage budget,Too Low,Safe,Broaden Access,Bard,,Added thematic access for Bard,Keep Action,Add Damage Scaling,Acceptable,Added Bard access
Echo of the Hallowed Ground,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Broaden Access,"Druid, Ranger",,"Added thematic access for Druid, Ranger",Keep Action,Needs Manual Review,Needs Manual Review,"Added Druid, Ranger access; Review unclear damage"
Eldritch Intoxication,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage
Eyes Behind the Kiss,Saving Throw,Needs Manual Review,6.8-13.5 expected; 27.0 listed,Strong rider: reduced damage budget,Needs Manual Review,Safe,Broaden Access,Cleric,,Added thematic access for Cleric,Keep Action,Add Damage Scaling,Needs Manual Review,Added Cleric access; Review named damage outlier; Review unclear damage
Fire Colt,Saving Throw,Needs Manual Review,8.8-14.4 expected; 3.5 listed,No strong rider,Too Low,Safe,Broaden Access,"Artificer, Druid",,"Added thematic access for Artificer, Druid",Keep Action,Add Damage Scaling,Acceptable,"Added Artificer, Druid access"
Forgotten Banquet of Determination,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,Wizard,,Added thematic access for Wizard,Change to Ritual,Needs Manual Review,Acceptable,Added Wizard access; Ritual casting
Giocrin's Face of Rust,Saving Throw,Needs Manual Review,8.8-14.4 expected; 7.0 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Hospice of Withheld Comfort,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,"Ranger, Wizard",Paladin,"Added thematic access for Ranger, Wizard; Removed non-thematic/high-level access for Paladin",Change to Reaction,Needs Manual Review,Acceptable,"Added Ranger, Wizard access; Removed Paladin access; Reaction casting"
Huruma’s Vigilant Thread,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Reaction,Needs Manual Review,Acceptable,Reaction casting
Keeper’s Sanctuary,Saving Throw,Needs Manual Review,13.5-18.0 expected; 3.5 listed,No strong rider,Too Low,Safe,Broaden Access,Bard,,Added thematic access for Bard,Change to Reaction,Add Damage Scaling,Acceptable,Added Bard access; Reaction casting
Lament-Borne Reversal,Saving Throw,Needs Manual Review,6.8-13.5 expected; 14.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Lockstep,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,Needs Manual Review,Acceptable,Added Artificer access
Mandate of Recognized Authority,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Artificer,Paladin,Added thematic access for Artificer; Removed non-thematic/high-level access for Paladin,Keep Action,Needs Manual Review,Acceptable,Added Artificer access; Removed Paladin access
Manifest Acrimonous Arsenal,Spell Attack,Needs Manual Review,13.5-18.0 expected; 4.5 listed,No strong rider,Too Low,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,No Upcast Needed,Acceptable,Added Artificer access
Master Forgery,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Druid, Wizard",,"Added thematic access for Druid, Wizard",Change to Ritual,Needs Manual Review,Acceptable,"Added Druid, Wizard access; Ritual casting"
Measured Pulse,Environmental with avoidance rules,Needs Manual Review,13.5-18.0 expected; 7.0 listed,No strong rider,Too Low,Safe,Remove Classes,,Paladin,Removed non-thematic/high-level access for Paladin,Change to Reaction,Add Damage Scaling,Acceptable,Removed Paladin access; Reaction casting
Mirabel's Kiss of Dawnbreaking,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Mnemonic Wipe,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Manual Review,Broaden Access,Cleric,,Added thematic access for Cleric,Keep Action,Needs Manual Review,Needs Manual Review,Added Cleric access; Review permanent effect
Nethering Interlude,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Bard,,Added thematic access for Bard,Keep Action,Needs Manual Review,Acceptable,Added Bard access
Phantom Call,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Bard,Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Acceptable,Removed Bard access
Pillow Talk,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,Ranger,,Added thematic access for Ranger,Keep Action,Needs Manual Review,Acceptable,Added Ranger access
Precision Aim,Automatic with prerequisite,Needs Manual Review,13.5-18.0 expected; 3.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Preserve Provisions,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Needs Manual Review,Acceptable,Added Druid access
Remove Aromate,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,No Upcast Needed,Acceptable,Added Druid access
Residual Anomaly Energy,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Ranger,,Added thematic access for Ranger,Keep Action,Needs Manual Review,Acceptable,Added Ranger access
Residual Imprint,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Ranger,,Added thematic access for Ranger,Keep Action,Needs Manual Review,Acceptable,Added Ranger access
Salt Key,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Change to Bonus Action,Needs Manual Review,Acceptable,Added Artificer access; Bonus Action casting
Sanguine Override,Automatic with prerequisite,Needs Manual Review,13.5-18.0 expected; 9.0 listed,No strong rider,Too Low,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Add Damage Scaling,Acceptable,Added Druid access
Sealed Threshold,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Warlock,,Added thematic access for Warlock,Keep Action,Needs Manual Review,Acceptable,Added Warlock access
Seed and Silence,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Wizard,,Added thematic access for Wizard,Change to Ritual,Needs Manual Review,Acceptable,Added Wizard access; Ritual casting
Shadowtalk,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Spice of Vigor,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Needs Manual Review,Acceptable,Added Druid access
Static Surge,Saving Throw,Needs Manual Review,13.5-18.0 expected; 9.0 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Sterile Veil,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Artificer, Druid",,"Added thematic access for Artificer, Druid",Keep Action,Needs Manual Review,Acceptable,"Added Artificer, Druid access"
Subjugation Design,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,Needs Manual Review,Acceptable,Added Artificer access
Summon Pest,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,"Warlock, Wizard",,"Added thematic access for Warlock, Wizard",Keep Action,Needs Manual Review,Acceptable,"Added Warlock, Wizard access"
Surge of the Fleeing Thread,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Tight,Saving Throw,Needs Manual Review,13.5-18.0 expected; 2.5 listed,No strong rider,Too Low,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Add Damage Scaling,Acceptable,Added Druid access
Torrent of Unbidden Thoughts,Saving Throw,Needs Manual Review,13.5-18.0 expected; 3.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Toxic Stray,Saving Throw,Needs Manual Review,8.8-14.4 expected; 3.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Unwritten Passage,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Artificer,Sorcerer,Added thematic access for Artificer; Removed non-thematic/high-level access for Sorcerer,Change to Ritual,Needs Manual Review,Acceptable,Added Artificer access; Removed Sorcerer access; Ritual casting
Veiled Proclamation,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Wizard,Sorcerer,Added thematic access for Wizard; Removed non-thematic/high-level access for Sorcerer,Change to Ritual,Needs Manual Review,Acceptable,Added Wizard access; Removed Sorcerer access; Ritual casting
Verdant Irony,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Wallflower Perk,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Zenith of Crimson Greed,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Needs Manual Review,Acceptable,Added Druid access
Boiling Rebuke,Saving Throw,Needs Manual Review,14.6-21.6 expected; 10.5 listed,No strong rider,Too Low,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Add Damage Scaling,Acceptable,Added Druid access
Breath Stolen Back,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,Needs Manual Review,Acceptable,Added Artificer access
Cerulean Incantation of Pride,Environmental with avoidance rules,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Narrow Access,Sorcerer,Bard,Added thematic access for Sorcerer; Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Needs Manual Review,Added Sorcerer access; Removed Bard access; Review unclear damage
Delayed Nap,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage
Discover Unseen Trace,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Enthralling Kiss,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Needs Dispel Method,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage; Review permanent effect
Everblast,Saving Throw,Needs Manual Review,14.6-21.6 expected; 13.5 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Famine Birth,Saving Throw,Needs Manual Review,22.5-27.0 expected; 2.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Change to Ritual,Add Damage Scaling,Acceptable,Ritual casting
Festering Graze,Saving Throw,Needs Manual Review,22.5-27.0 expected; 27.5 listed,No strong rider,Needs Manual Review,Safe,Broaden Access,"Cleric, Druid",,"Added thematic access for Cleric, Druid",Change to Ritual,Add Damage Scaling,Needs Manual Review,"Added Cleric, Druid access; Ritual casting; Review named damage outlier; Review unclear damage"
First Act Entrée,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Bonus Action,Needs Manual Review,Acceptable,Bonus Action casting
Fracturing of the Erelian Ledger,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Save,Broaden Access,"Artificer, Druid",,"Added thematic access for Artificer, Druid",Change to Ritual,Needs Manual Review,Needs Manual Review,"Added Artificer, Druid access; Ritual casting; Review permanent effect"
Gluttonous Maw,Saving Throw,Needs Manual Review,7.3-16.2 expected; 18.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Narrow Access,"Druid, Ranger",Sorcerer,"Added thematic access for Druid, Ranger; Removed non-thematic/high-level access for Sorcerer",Keep Action,Add Damage Scaling,Acceptable,"Added Druid, Ranger access; Removed Sorcerer access"
Hemograft Steel,Spell Attack,Needs Manual Review,22.5-27.0 expected; 21.0 listed,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Add Damage Scaling,Acceptable,Added Druid access
Immutable Clause,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Needs Save,Broaden Access,"Artificer, Druid, Ranger",,"Added thematic access for Artificer, Druid, Ranger",Change to Reaction,Needs Manual Review,Needs Manual Review,"Added Artificer, Druid, Ranger access; Reaction casting; Review unclear damage; Review permanent effect"
Leybound Dispatch,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Bard, Sorcerer","Removed non-thematic/high-level access for Bard, Sorcerer",Change to Ritual,Needs Manual Review,Acceptable,"Removed Bard, Sorcerer access; Ritual casting"
Locate Keys,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Ritual,Needs Manual Review,Acceptable,Ritual casting
Mask of Recognized Standing,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,"Artificer, Cleric",Sorcerer,"Added thematic access for Artificer, Cleric; Removed non-thematic/high-level access for Sorcerer",Change to Ritual,Needs Manual Review,Acceptable,"Added Artificer, Cleric access; Removed Sorcerer access; Ritual casting"
Maw of the Forgotten,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Mellow Flow,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,"Druid, Paladin",Bard,"Added thematic access for Druid, Paladin; Removed non-thematic/high-level access for Bard",Keep Action,Needs Manual Review,Acceptable,"Added Druid, Paladin access; Removed Bard access"
Merciful Omission,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Mirabel's Breath of Dusk,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Needs Dispel Method,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Needs Manual Review,Removed Sorcerer access; Review permanent effect
Misthreaded Passage,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Cleric,"Bard, Sorcerer","Added thematic access for Cleric; Removed non-thematic/high-level access for Bard, Sorcerer",Keep Action,Needs Manual Review,Acceptable,"Added Cleric access; Removed Bard, Sorcerer access"
Mobster’s Favor,Spell Attack,Needs Manual Review,11.2-20.2 expected; 3.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Broaden Access,"Paladin, Ranger, Wizard",,"Added thematic access for Paladin, Ranger, Wizard",Keep Action,Add Damage Scaling,Acceptable,"Added Paladin, Ranger, Wizard access"
Muttering Solstice of Indignation,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Druid,Bard,Added thematic access for Druid; Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Acceptable,Added Druid access; Removed Bard access
Paradox Consecration,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Druid, Ranger",,"Added thematic access for Druid, Ranger",Keep Action,Needs Manual Review,Acceptable,"Added Druid, Ranger access"
Phantom Paper Trail,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Change to Reaction,Needs Manual Review,Acceptable,Removed Sorcerer access; Reaction casting
Power Surge,Automatic with prerequisite,Needs Manual Review,22.5-27.0 expected; 4.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Proclamation of Borrowed Voice,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Pulse Reaver,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Pyric Rend,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Regal Cipher of Binding,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Save,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,Needs Manual Review,Needs Manual Review,Added Artificer access; Review permanent effect
Regal Mantling,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage
Regal Measure of Endurance,Saving Throw,Needs Manual Review,14.6-21.6 expected; 13.5 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Release of Burdened Past,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Bard,Paladin,Added thematic access for Bard; Removed non-thematic/high-level access for Paladin,Keep Action,Needs Manual Review,Acceptable,Added Bard access; Removed Paladin access
Revulsion,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Paladin, Sorcerer","Removed non-thematic/high-level access for Paladin, Sorcerer",Keep Action,Needs Manual Review,Acceptable,"Removed Paladin, Sorcerer access"
Reweave the Mind,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,Bard,,Added thematic access for Bard,Keep Action,Needs Manual Review,Acceptable,Added Bard access
Ricochet,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage
Sanctum of Labor,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Ritual,Needs Manual Review,Acceptable,Ritual casting
