Images,Spell Name,Page,Source,Foundry Tag,,Tag ABRV,Theme,Class,New Class,Level,School,School ABRV,Description,Notes,Clarification,Table,Flavor,Quotes,Damage,Damage Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,DDB Sync Status,DDB Sync Error,DDB Last Synced,DDB Publish Status
,Wisp of the Forgotten,0,ORIO,"Summons Creature, Grants Advantage","Summons Creature, Grants Advantage",SMN,,"Bard, Sorcerer, Warlock",Scourge,0-Cantrip,Necromancy,N,"You conjure a faint, ghostly whisper from beyond the veil, carrying an unintelligible but haunting message to a creature within range. The target must succeed on a Wisdom saving throw or become unnerved until the start of its next turn, giving it disadvantage on the next Wisdom (Perception) check or initiative roll it makes. If the creature is already frightened, it takes psychic damage equal to your spellcasting ability modifier.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Somatic, Verbal","V, S",,"With a gentle, sweeping motion of your hand",'Echoes of the forgotten whisper',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/wisp%20of%20the%20forgotten.png,3137583,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:24:14,
,Word Stricken from the Record,0,ORIO,,,,,Bard,Parascientist,0-Cantrip,Enchantment,E,"When a creature within range attempts to speak, you erase a single spoken word from their sentence. The word is completely omitted, leaving a clear and unnatural gap in their speech.

This does not alter the meaning of the statement, but the omission is obvious to all listeners. If used against a spellcaster, the spell they cast is not disrupted, though they suffer a brief moment of mental dissonance.

⸻
",,,,,,,,,,,,,,,FALSE,FALSE,Reaction,1,Reaction,when a creature attempts to speak within 30 feet of you,Instantaneous,Instant,,,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,Verbal,V,,,As the word falters,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/word%20stricken%20from%20the%20record.png,3137458,,✅,,2026-02-15 18:24:35,
,Arouse,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,"Sorcerer, Bard","Celebrity, Medic, Cultist",1st-level,Enchantment,E,"You stir the creature’s vital humors, kindling a sudden and involuntary warmth that courses through flesh and nerve alike. Breath shortens, the pulse quickens, and the body answers a stimulus it cannot name nor refuse. Sensation sharpens to an almost unbearable clarity as the target’s physical nature betrays its composure.

The target must succeed on a Constitution saving throw or become Aroused for the duration.

While Aroused, the creature’s body is gripped by restless excitation. Subtle control falters beneath heightened awareness, and every movement carries a faint, unsteady tension.

• The creature has disadvantage on Stealth checks, as its agitation resists stillness and quiet precision.
• The creature has advantage on Perception checks relying on hearing, touch, or taste, its senses keen yet distractible.
• The creature has disadvantage on Constitution saving throws made to maintain concentration, as intrusive sensations scatter disciplined thought.

This effect imposes no emotion, desire, or fear. The disturbance is purely of the body, though observers may misread the creature’s flushed state, quickened breath, or distracted gaze according to their own assumptions.

Creatures devoid of living instincts or immune to charm effects are unaffected.",,"Optional Roleplay Effects:

The response may resemble nervousness, excitement, or panic depending on context. Social misinterpretations are common and potentially useful (or disastrous).

Notes for Tables:
- Reflavor it for espionage, interrogation, or psychic interference if you want to avoid overtly sexual interpretation.
- Mechanically, it behaves like a stimulant- overload or magic caffeine shot — sensory boost, motor disruption.",,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 turn + 1 rounds/level,,1,Rounds,FALSE,FALSE,20 feet,Point,20,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","A small, intricately carved wooden figurine","With hands held palms up and fingers spread, you rotate your wrists in a slow, deliberate circle.",You whisper 'Vitalis fervor' as you cast the spell.,,,,,Pleasure Numbing,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/arouse.png,3137360,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:54:27,
,Barriers of Officialism,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,Wizard,Parascientist,1st-level,Abjuration,A,"A hovering writ of binding law manifests around you, forming an unseen but oppressive obstruction. For the duration, whenever a creature targets you with an attack, it must choose one of the following options:

• Submit a Petition: The creature forfeits its next action, doing nothing on its following turn.
• Endure the Queue: The creature’s movement speed is reduced by 10 feet for that turn.
• Defy the Writ: The creature makes the attack roll with disadvantage.

This effect persists for the spell’s full duration or until you are incapacitated.",,,,,,,,,,,,,,,FALSE,FALSE,Reaction ,1,Reaction,when attacked,1 minutes,,1,Minutes,FALSE,FALSE,Self,Point,,Self,,,,,,"Verbal, Somatic","V, S",,make a circular motion with your index finger,Speak the words 'By writ and seal',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/barriers%20of%20officialism.png,3137456,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:54:43,
,Bogbolt,0,ORIO,"Summons Creature, Modifies AC, Grants Advantage","Summons Creature, Modifies AC, Grants Advantage",SMN,,"Druid, Sorcerer",Architect,1st-level,Evocation,V,"You conjure and fling a dense glob of swamp muck at a creature within range. The bolt arcs with a disgusting squelch, trailing algae, peat, and mystery goo.

Make a ranged spell attack against a creature. On a hit, the target takes 1d8 blundgeoning damage and must succeed on a Charisma saving throw or be coated in stinking mire for 1 minute.

While affected:- The target has disadvantage on Charisma checks involving persuasion, performance, or decorum.- The effect ends early if the creature spends an action to scrape or wash off the muck.",,,,This spell is often used less for harm and more for humiliation. The smell lingers longer than the magic.,,1d8,Bludgeoning,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Somatic, Verbal","V, S",,"a quick, sloppy gesture with your off-hand","a brief incantation of 'Mire and muck, entwine!'",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/bogbolt.png,3137207,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:55:06,
,Bonechant Bloom,0,ORIO,"Requires Sight, Modifies AC, Difficult Terrain","Requires Sight, Modifies AC, Difficult Terrain",SGT,,"Druid, Ranger","Architect, Cultist",1st-level,Transmutation,T,"You provoke a violent bloom of pale, sinewy vines drawn from the hidden marrow of the earth.

Choose a point on the ground you can see within 30 feet. A writhing mass of parasitic growth erupts in a 10-foot-radius circle centered on that point. The area becomes difficult terrain for the duration.

When a creature enters the area for the first time on a turn or starts its turn there, it must make a Strength saving throw.

• Failure: The creature is Restrained until the end of its next turn as the vines coil and constrict with unnatural persistence.
• Success: The creature moves unhindered through the growth.

A creature restrained by the vines may use its action to make a Strength (Athletics) check against your spell save DC, ending the restrained condition on a success.

The vines remain animate for the duration, shifting, tightening, and recoiling in slow, unsettling motion, as though guided by half-formed instinct.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,up to 1 minutes,,1,Minutes,TRUE,TRUE,30 feet,Point,30,Feet,,,,,,"Material, Somatic, Verbal","V, S, R","A pinch of dry, crumbling bone","With a slow, deliberate motion, grasp an invisible tendril as if coaxing forth the vines","As the earth's secrets unfold, whisper 'Marrow's grasp'",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/bonechant%20bloom.png,3137208,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137208-bonechant-bloom/e",2026-02-15 17:55:13,
,Borrowed Chance,1,ORIO,"Requires Sight, Grants Advantage","Requires Sight, Grants Advantage",SGT,,"Sorcerer, Warlock",,1st-level,Transmutation,T,"You twist the flow of possibility, briefly diverting fortune from your target’s immediate future.

Choose one creature you can see within range. Until the end of your next turn, you have advantage on the first attack roll you make against that creature.

After that attack roll is resolved, the distortion of fate reverses.

Until the end of the target’s next turn, the creature has advantage on the first attack roll it makes.

If you do not make an attack against the target before the spell’s initial effect expires, the target gains no benefit.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,,Touch,Point,,Touch,,,,,,"Verbal, Somatic","V, S",,With a subtle nod and a whispered 'may chance bend',"As fortune's whim, I borrow this brief span",,,,,,,,,,,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/error?aspxerrorpath=/spells/modifier/create/nan"">he",2026-02-15 17:55:16,
,Borrowed Momentum,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,"Bard, Sorcerer","Anomalous, Medic",1st-level,Abjuration,A,"You urge a creature beyond its natural cadence, drawing fleeting vigor from moments not yet lived. The target moves with uncanny immediacy, as though anticipation and motion have become indistinguishable.

For the duration, the creature’s body and perception flow in rare accord:

• The target’s speed increases by 20 feet.
• The target has advantage on Dexterity checks.
• The target has advantage on Dexterity saving throws.
• The target’s movement does not provoke opportunity attacks.

Their movements carry an unnatural continuity. Steps land without wasted effort, reactions precede conscious thought, and motion unfolds with effortless certainty.

When the spell ends, the stolen momentum is reclaimed. The creature’s vitality recoils under the strain of borrowed time, and it gains one level of exhaustion.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Verbal, Somatic","V, S",,"A swift, flowing motion of your hands",Momentum's fleeting grasp,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/borrowed%20momentum.png,3137414,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:55:23,
,Cloak of the Mason’s Shadow,0,ORIO,Grants Advantage,Grants Advantage,ADV,,"Ranger, Sorcerer",Operative,1st-level,Illusion,I,"You veil yourself in the muted hues and fractured geometry of worked stone, blending your presence into the visual rhythm of constructed spaces.

For the duration, your form subtly adopts the tones and textures of masonry, shadowed recesses, and weathered surfaces.

While you are within a settlement, ruin, or constructed environment:

• You have advantage on Dexterity (Stealth) checks.
• Creatures relying on casual observation do not automatically distinguish you from surrounding movement or structure.

This effect ends early if you:

• Make an attack
• Cast a spell that directly affects another creature
• Create a sudden loud noise (GM discretion)

The spell does not render you invisible, obscure your physical position, or prevent deliberate scrutiny.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 hours,,1,Hours,FALSE,FALSE,self,Point,,Self,,,,,,"Verbal, Somatic","V, S",,Mimic the motion of chiseling stone,"Shadows weave, stones align",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/cloak%20of%20the%20mason%E2%80%99s%20shadow.png,3137564,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:56:11,
,Coitus Compulsum,0,ORIO,Grants Advantage,Grants Advantage,ADV,,"Bard, Sorcerer, Warlock","Celebrity, Cultist",1st-level,Enchantment,E,"You flood a creature’s mind with intrusive passions, overwhelming it with disorienting impulses of longing, infatuation, and romantic fixation.

Choose one creature within range. The target must make a Charisma saving throw.

• Failure: The creature is Charmed by you for the duration and becomes mentally preoccupied by intense romantic and intimate ideation.
• Success: The creature is unaffected.

While Charmed by this spell, the creature is visibly distracted:

• The creature has disadvantage on Wisdom (Perception) checks.
• The creature has disadvantage on attack rolls against creatures other than you.
• The creature cannot willingly move farther away from you unless it succeeds on a Wisdom saving throw at the start of its turn.

Roll 1d6 immediately upon casting. The target suffers the additional effect for the duration:",,,"d6
Random Effect
1
The target becomes irrationally enamored with the nearest inanimate object within 10 feet. For the duration, the creature is Charmed by the object, treats it as precious, and is unwilling to move more than 10 feet away from it. If the object is threatened or removed, the creature may repeat its saving throw at the end of each of its turns.
2
The target becomes socially disoriented for 1 hour. It has disadvantage on all Charisma checks and Charisma saving throws.
3
The target is overwhelmed by romantic fixation. For the duration, the creature is Charmed by you and regards you with exaggerated affection. This does not compel obedience but may influence behavior at the GM’s discretion.
4
Adrenaline surges through the target. For the duration, it gains a +2 bonus to AC, but it has disadvantage on attack rolls against creatures it finds attractive or emotionally compelling (GM discretion).
5
The target is struck by a cascade of mortifying recollections, taking 1d4 psychic damage and having disadvantage on its next attack roll or ability check before the end of its next turn.
6
A fleeting, illusory winged figure manifests near the target for 1 minute, visible only to creatures within 10 feet. The apparition offers distracting commentary. The target has disadvantage on Wisdom (Perception) checks for the duration. The figure has no mechanical presence and cannot be interacted with.
","An incomplete footnote in a partially corrupted A.S.T.R.A.L. record vaguely describes a “linguistic corruption phenomenon” causing test subjects to irreversibly blur intimacy, enchantment, and compulsion. The rest of the archive is suspiciously absent.",,,,,,,,,,,FALSE,FALSE,Reaction,1,Reaction,when an enemy attacks,10 minutes,,10,Minutes,FALSE,TRUE,Touch,Point,,Touch,,,,,,"Somatic, Verbal, Material","V, S, R",a rose petal dipped in honey,,,,,,,Pleasure Numbing,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/coitus%20compulsum.png,3137225,,✅,,2026-02-15 17:56:14,
,Drain Cognition,0,ORIO,,,,,"Sorcerer, Wizard","Cultist, Anomalous",1st-level,Necromancy,N,"You siphon fragments of clarity and structured thought from a creature within range.

The target must make an Intelligence saving throw.

• Failure: Roll 1d4. For the duration, the creature suffers a penalty equal to the result:

• Subtract the penalty from its spell save DC (if any).
• Subtract the penalty from Intelligence-based ability checks.

• Success: The creature is unaffected.

A creature affected by this spell cannot suffer additional penalties from multiple castings of Drain Cognition. Only the highest penalty applies.",,,,,,1d4,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,TRUE,30 feet,Point,30,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","a small, intricately carved wooden sphere",tapping your index finger against your thumb,"the words 'Cerebral flux, I command'",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/drain%20cognition.png,3137270,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:57:43,
,Eternal Etching,0,ORIO,Affects Objects,Affects Objects,OBJ,,Artificer,Parascientist,1st-level,Transmutation,T,"You inscribe a declaration or mark into a nonliving object, anchoring the inscription with unnatural permanence.

Choose a nonmagical object you can touch. You create a visible inscription, symbol, signature, or brief message upon its surface.

For the duration of the object’s existence:

• The inscription cannot be removed, altered, or obscured by mundane means, including abrasion, burning, staining, or physical damage.
• The inscription persists even if the object is broken, provided its fragments remain identifiable as parts of the original object.

The inscription conveys no magical compulsion and produces no mechanical effects beyond its persistence.

The mark may be removed or altered only by magic capable of directly modifying magical effects or reality itself.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Permanent,Permanent,,,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R","a small, intricately carved wooden stylus",a gentle tracing motion with the stylus,the words 'Eternal Etching' spoken in a steady tone,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/eternal%20etching.png,3137302,,✅,,2026-02-15 17:59:42,
,Fingerbang,0,ORIO,,,,,"Sorcerer, Warlock","Celebrity, Anomalous",1st-level,Evocation,V,"You snap your hand into a confident finger gun and unleash a crackling projectile of arcane force shaped like a bullet. Choose one creature within range. Make a ranged spell attack against the target.

- On a hit, the target takes 2d6 ballistic damage.
- The projectile leaves behind a faint trail of cigarette smoke and the smell of ozone.
- If cast while wearing sunglasses or leaning on something cool, you may deal an additional +1 damage (DM discretion, style points encouraged).",,,,"“Bang.” 
—Last words of Agent V before exiting the parking garage standoff.",,,,,,,,,,,FALSE,FALSE,Bonus Action,1,Bonus Action,,Instantaneous,Instant,,,FALSE,FALSE,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic","V, S",,Snap your hand into a confident finger gun,"Fwip, boom!",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fingerbang.png,3137318,,❌,"Failed to create higher level: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137318-fingerbang/ed",2026-02-15 18:00:27,
,Splintered Howl,0,ORIO,,,,,Bard,"Scourge, Cultist",1st-level,Enchantment,E,"You emit a fractured, unsteady howl that unsettles the minds of nearby creatures, echoing with something disturbingly inhuman.

Creatures of your choice within 10 feet must make a Wisdom saving throw.

• Failure: A creature is Frightened of you until the end of its next turn.
• Success: The creature is unaffected.

Creatures that are Undeads or Constructs suffer a −2 penalty to the saving throw.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,self,Point,,Self,10 ft,,,10,,Verbal,V,,,Kraa-kraa-ahhh,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/splintered%20howl.png,3137326,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:01:15,
,Giocrin's Nostalgia,0,ORIO,"Requires Sight, Creates Light","Requires Sight, Creates Light",SGT,,"Bard, Sorcerer, Wizard",Scourge,1st-level,Evocation,V,"You evoke a pale, memory-laden radiance that lingers with an unsettling stillness. When you cast this spell, choose one of the following manifestations:

⸻

Beacon

A soft, eerie light appears at a point you can see within 5 feet.

• The light sheds bright light in a 20-foot radius and dim light for an additional 20 feet
• The beacon remains stationary for 30 minutes
• The light is unaffected by wind, rain, or immersion in water

⸻

Flare

A sudden lance of colored light streaks upward from a point you choose within range.

• The flare rises vertically and briefly blooms overhead
• For 1 round, it sheds bright light in a 60-foot radius centered on its peak
• The light then fades instantly

Outdoors, the flare is visible at great distance, often mistaken for an omen or distant signal.

⸻

The light may be any color you choose. It is uncanny but gentle, causing no harm and imposing no visual impairment.",,,,"Giocrin wandered into forgotten places with a lantern that burned brighter in regret than in darkness. When he vanished, only the flame remained—flickering in places he might have walked, but never did.

The last known caster, Darsil Veil, was found dead beside his burned- out focus. His eyes were empty. His notes described “the whispering ones” and warned: “Some light doesn’t show where we are—it shows what we’ve lost.”

Some believe this spell doesn’t just illuminate—it invites observation from elsewhere.",,,,,,,,,,,FALSE,FALSE,Action,1,Action,,30 minutes,,30,Minutes,FALSE,FALSE,Self,Point,,Self,,,,,,Verbal,V,,,V,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/giocrin%27s%20nostalgia.png,3137339,,✅,,2026-02-15 18:02:09,
,Glossolalia Error,0,ORIO,Modifies AC,Modifies AC,MAC,,Bard,"Cultist, Parascientist",1st-level,Enchantment,E,"You unleash a surge of disruptive interference that tangles speech, thought, and articulation.

Choose one creature within range. The target must make a Constitution saving throw.

• Failure: The creature is unable to produce intelligible speech until the end of its next turn. During this time, it cannot cast spells with verbal components.

• If the creature was in the process of casting a spell when targeted, it must succeed on a Constitution saving throw or the spell fails and the action is wasted.

• Success: The creature resists the disruption and suffers no effect.

For a brief moment, the target’s words fracture into meaningless syllables and broken sounds.",,,,,,,,,,,,,,,FALSE,FALSE,Reaction ,1,Reaction,when a creature within range speaks or casts a spell,1 rounds,,1,Rounds,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,Verbal,V,,,"Astra vocis, silenciae!",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/glossolalia%20error.png,3137342,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:02:18,
,Gourds and Wharfs,0,ORIO,"Requires Sight, Summons Creature, Affects Objects","Requires Sight, Summons Creature, Affects Objects",SGT,,Bard,"Architect, Judge",1st-level,Conjuration,C,"You conjure a curious arrangement of autumnal objects at a point you can see within range. Roll a d6 to determine what appears.

The conjured objects are nonmagical, fragile, and persist for the duration unless destroyed.",,,"| d6 | Summon Result |
|---- |------------------------------------------------------------------------------- |
| 1 | A harmless pile of decorative gourds appears. |
| 2 | Gourds appear and burst into harmless, colorful sparks. |
| 3 | A small wooden dock appears precisely 10 feet away from the target point. |
| 4 | A small wooden dock appears with a tiny boat gently bobbing at its side. |
| 5 | A talking scarecrow briefly appears, makes an obscure remark, and vanishes. |
| 6 | A single, massive pumpkin (large enough to provide half- cover) appears. |","A partially burned A.S.T.R.A.L. manuscript mentions a long- abandoned festival involving pumpkins, piers, and confusing folk traditions. The context is lost, leaving only playful chaos.",,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Somatic, Material, Verbal","V, S, R","a small, intricately carved wooden charm",tapping your fingers in a rhythmic pattern,whispering 'Gourd's gentle grasp',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/gourds%20and%20wharfs.png,3137344,,✅,,2026-02-15 18:02:31,
,Greaseproof Grip,1,ORIO,"Requires Sight, Affects Objects, Grants Advantage","Requires Sight, Affects Objects, Grants Advantage",SGT,,"Artificer, Ranger, Sorcerer, Warlock",,1st-level,Transmutation,T,"Choose a creature you can see within range. For the duration, the target’s grasp becomes unnaturally secure.

The target has advantage on Strength checks and Strength saving throws made to:

• Maintain hold of an object
• Resist being disarmed
• Prevent an item it is holding from being forcibly removed

If the target would drop an item due to an external effect, it may make a Strength saving throw. On a success, the item is not dropped.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,,Minutes,FALSE,,Touch,Point,,Touch,,,,,,"Verbal, Somatic","V, S",,With a subtle hand motion,By the grip of fate,,,,,,,,,,,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/error?aspxerrorpath=/spells/modifier/create/nan"">he",2026-02-15 18:02:53,
,Grubby Learn-Fists,0,ORIO,"Affects Objects, Grants Advantage","Affects Objects, Grants Advantage",OBJ,,Bard,"Parascientist, Celebrity, Anomalous",1st-level,Abjuration,A,"Your hands are seized by an intrusive hunger for unfamiliar skill. Fingers twitch, probe, and fidget with restless curiosity, as if guided by instincts not entirely your own.

Choose one tool, weapon, or musical instrument. For the duration, you gain proficiency with the chosen item. If you are already proficient, you instead gain advantage on ability checks made using it.

At the start of each of your turns, you must succeed on a Wisdom saving throw (DC 10) or your hands behave erratically until the start of your next turn. While erratic, the DM may impose one of the following effects:

• You have disadvantage on attack rolls made with held weapons
• You have disadvantage on Dexterity-based ability checks
• You drop one held object of the DM’s choice
• Your hands perform involuntary gestures, preventing somatic components that turn

The hands’ movements are compulsive rather than intelligent, driven by restless experimentation rather than intent.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you may choose one additional item per slot level above 1st. The saving throw DC increases by 1 for each additional item learned.",,,,The spell was banned from several universities after a scroll archive was completely ransacked by enchanted fingers.,,,,,,,,,,10,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,self,Point,,Self,,,,,,"Somatic, Verbal","V, S",,Mimic grasping for knowledge,"Korvoi, khorvi, khaos",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/grubby%20learn-fists.png,3137346,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137346-grubby-learn-fist",2026-02-15 18:03:01,
,Gut Instinct,0,ORIO,"Requires Sight, Modifies AC, Grants Advantage","Requires Sight, Modifies AC, Grants Advantage",SGT,,Ranger,Operative,1st-level,Abjuration,A,"You surrender conscious thought to raw survival impulse, allowing reflex to outrun intention.

Until the start of your next turn:

• You gain a +2 bonus to AC
• You have advantage on the next Dexterity saving throw you make
• When a creature you can see targets you with an attack, you may use your reaction to move up to 10 feet

This movement occurs after the attack is declared but before the attack roll is made, and does not provoke opportunity attacks.

Moving in this way does not automatically cause the attack to miss, but may place you outside the attacker’s reach or line of effect as normal.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,self,Point,,Self,,,,,,"Somatic, Verbal","V, S",,"Flick your fingers in a rapid, staccato motion.",Murmur 'instinct' under your breath.,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/gut%20instinct.png,3137347,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:03:04,
,Halo Brand,0,ORIO,"Requires Sight, Modifies AC","Requires Sight, Modifies AC",SGT,,"Cleric, Paladin","Judge, Cultist",1st-level,Transmutation,T,"You inscribe a subtle metaphysical mark upon a creature you can see within range, manifesting as either a faint halo of sanctity or a dim corona of corruption (your choice). The mark may be visible or imperceptible at the time of casting.

For the duration, the branded creature interacts differently with consecrated terrain:

• On Sanctified Ground: The creature becomes unnaturally vulnerable to purifying force. The first time each turn it is hit by a melee attack, it takes an additional 1d4 fire damage.

• On Desecrated Ground: The creature’s resolve falters beneath hostile resonance. It suffers a –1 penalty to damage rolls and a –1 penalty to spell attack rolls.

If the creature is not within sanctified or desecrated terrain, the brand remains dormant and has no effect.

If terrain beneath the creature becomes sanctified or desecrated while the spell persists, the appropriate effect activates immediately.

The halo is a magical mark rather than a physical phenomenon and does not obstruct vision or movement.",,,,,,,,,,,,,,,FALSE,FALSE,Bonus Action,1,Bonus Action,,1 minutes,,1,Minutes,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,Verbal,V,,,You speak the words 'Sanctus' or 'Corruptio',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/halo%20brand.png,3137349,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:03:13,
